county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
06001,Alameda,CA,2024,2024-12-31,2571.78,0.011488375934585848,0.011488375934585848,483.59000394877876,A,hpi,hpi_at_county.csv
06005,Amador,CA,2024,2024-12-31,462.32,-0.004436022223179292,-0.004436022223179292,334.09452232981647,A,hpi,hpi_at_county.csv
06007,Butte,CA,2024,2024-12-31,1123.71,0.03026496745209495,0.03026496745209495,416.9765111877992,A,hpi,hpi_at_county.csv
06009,Calaveras,CA,2024,2024-12-31,572.72,0.03640969960188212,0.03640969960188212,387.1822606814495,A,hpi,hpi_at_county.csv
06011,Colusa,CA,2024,2024-12-31,513.23,0.06155500858377971,0.06155500858377971,444.3165093931261,A,hpi,hpi_at_county.csv
06013,Contra Costa,CA,2024,2024-12-31,1881.22,0.021220000759989643,0.021220000759989643,416.1346694096047,A,hpi,hpi_at_county.csv
06015,Del Norte,CA,2024,2024-12-31,758.14,0.08943813766345743,0.08943813766345743,479.289417119737,A,hpi,hpi_at_county.csv
06017,El Dorado,CA,2024,2024-12-31,1259.12,0.017240543553781684,0.017240543553781684,412.3665422152355,A,hpi,hpi_at_county.csv
06019,Fresno,CA,2024,2024-12-31,1142.29,0.053685579610549095,0.053685579610549095,431.981999016753,A,hpi,hpi_at_county.csv
06021,Glenn,CA,2024,2024-12-31,512.26,-0.0011504338500536448,-0.0011504338500536448,469.4464809384164,A,hpi,hpi_at_county.csv
06023,Humboldt,CA,2024,2024-12-31,1150.39,-0.00968458386419202,-0.00968458386419202,501.5870939611947,A,hpi,hpi_at_county.csv
06025,Imperial,CA,2024,2024-12-31,631.46,0.09436578222214531,0.09436578222214531,398.0458900655573,A,hpi,hpi_at_county.csv
06027,Inyo,CA,2024,2024-12-31,895.14,0.024891229677123983,0.024891229677123983,444.2161679321126,A,hpi,hpi_at_county.csv
06029,Kern,CA,2024,2024-12-31,971.25,0.04574917093759412,0.04574917093759412,368.19060616399406,A,hpi,hpi_at_county.csv
06031,Kings,CA,2024,2024-12-31,1072.0,0.03972687771570449,0.03972687771570449,385.8196868814108,A,hpi,hpi_at_county.csv
06033,Lake,CA,2024,2024-12-31,584.35,-0.012355068789507428,-0.012355068789507428,364.1490621299932,A,hpi,hpi_at_county.csv
06035,Lassen,CA,2024,2024-12-31,379.04,-0.015122382164943104,-0.015122382164943104,302.9896083133493,A,hpi,hpi_at_county.csv
06037,Los Angeles,CA,2024,2024-12-31,2356.07,0.0616658105099992,0.0616658105099992,424.7467099332972,A,hpi,hpi_at_county.csv
06039,Madera,CA,2024,2024-12-31,1134.38,0.062571423218869,0.062571423218869,453.8246119379101,A,hpi,hpi_at_county.csv
06041,Marin,CA,2024,2024-12-31,2111.51,0.013725923223167458,0.013725923223167458,416.5699968434344,A,hpi,hpi_at_county.csv
06043,Mariposa,CA,2024,2024-12-31,531.44,-0.02020648967551608,-0.02020648967551608,346.82503426222024,A,hpi,hpi_at_county.csv
06045,Mendocino,CA,2024,2024-12-31,1425.47,0.0409297366768413,0.0409297366768413,416.0377083150921,A,hpi,hpi_at_county.csv
06047,Merced,CA,2024,2024-12-31,1302.05,0.06331460490641239,0.06331460490641239,414.2302675532084,A,hpi,hpi_at_county.csv
06049,Modoc,CA,2024,2024-12-31,327.85,0.0116329301407061,0.0116329301407061,327.85,A,hpi,hpi_at_county.csv
06051,Mono,CA,2024,2024-12-31,711.2,0.041944415957337666,0.041944415957337666,515.6238671790039,A,hpi,hpi_at_county.csv
