GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G2900530","1980","A","2","4","Missouri","29",,"Cooper","053",,,,,,,,,,,,,"03",,,,,,,,"COOPER COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0",27600,106
"G2900550","1980","A","2","4","Missouri","29",,"Crawford","055",,,,,,,,,,,,,"05",,,,,,,,"CRAWFORD COUNTY","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",25000,97
"G2900570","1980","A","2","4","Missouri","29",,"Dade","057",,,,,,,,,,,,,"03",,,,,,,,"DADE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",21200,90
"G2900590","1980","A","2","4","Missouri","29",,"Dallas","059",,,,,,,,,,,,,"07",,,,,,,,"DALLAS COUNTY","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0",21900,93
"G2900610","1980","A","2","4","Missouri","29",,"Daviess","061",,,,,,,,,,,,,"02",,,,,,,,"DAVIESS COUNTY","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0",19900,86
"G2900630","1980","A","2","4","Missouri","29",,"DeKalb","063",,,,,,,,,,,,,"02",,,,,,,,"DE KALB COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",23300,93
"G2900650","1980","A","2","4","Missouri","29",,"Dent","065",,,,,,,,,,,,,"08",,,,,,,,"DENT COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",26300,92
"G2900670","1980","A","2","4","Missouri","29",,"Douglas","067",,,,,,,,,,,,,"07",,,,,,,,"DOUGLAS COUNTY","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0",23900,100
"G2900690","1980","A","2","4","Missouri","29",,"Dunklin","069",,,,,,,,,,,,,"09",,,,,,,,"DUNKLIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",22600,78
"G2900710","1980","A","2","4","Missouri","29","7040","Franklin","071",,,,,,,,,,,,,"06",,,,,,,,"FRANKLIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36500,125
